date,text,cryptobert_sentiment,cryptobert_sentiment_2,subjectivity,polarity,compound,neg,neu,pos,btc_close_price,btc_target_label,eth_close_price,eth_target_label
2017-11-11,mining ethereum online time forevermore unit called goes changes mind opinion behavior friends biggest enemy change life pressure wouldn madly love hang gimme feel modern minute frame split seconds sell buy wich runs pulls plug framed fast tell future define past,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6357.600098,0,314.681,0
2017-11-12,mining ethereum online ether charles,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5950.069824,1,307.90799,1
2017-11-13,mining ethereum online work november,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6559.490234,1,316.716003,1
2017-11-14,mining ethereum online ether internal deposit bittrex payment october,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6635.75,1,337.631012,0
2017-11-15,create blockchain oracle mining ethereum online adding power love infinite days cold cards fold imagine dragons demons event team gmail,2.0,1.0,0.0,0.0,0.2732,0.0,0.84,0.16,7315.540039,1,333.356995,0
2017-11-16,mining ethereum online ether internal,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7871.689941,0,330.924011,1
2017-11-17,bitcoin transfer mining ethereum online test emergency broadcast system credits initial coin offering,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7708.990234,1,332.394012,1
2017-11-18,mining ethereum online bitcoin cash adopted transfer marketing initial coin offering statement creation,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7790.149902,1,347.612,1
2017-11-19,mining ethereum online technical bugfix work prediction total,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,8036.490234,1,354.385986,1
2017-11-20,writing blockchain ether init bitcoin transfer mining ethereum online bittrex funding,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8200.639648,0,366.730011,0
2017-11-21,mining ethereum online technical office equipment mike payment logo landing joshua wage expenses wages,1.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,8071.259766,1,360.401001,1
2017-11-22,bitcoin transfer mining ethereum online resistance knight infinite rectangular grid resistors,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8253.549805,0,380.652008,1
2017-11-23,mining ethereum online ether internal lewis know control accounts find,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8038.77002,1,410.165985,1
2017-11-24,mining ethereum online hello actually easy information blockchain,1.0,1.0,0.8333333333333334,0.4333333333333333,0.4404,0.0,0.805,0.195,8253.69043,1,474.911011,0
